Total number of license issued,lowest price ,avg price,Total number of applicants
1400,13600,14735,3718
1800,13100,14057,4590
2000,14300,14662,5190
2300,16000,16334,4806
2350,17800,18357,4665
2800,19600,20178,4502
3000,19800,20904,3774
3000,21000,21601,4640
3200,23600,24040,4393
3200,26400,27040,4661
3200,30800,31721,4021
3600,27800,27848,3525
3000,18800,24267,9442
3000,23800,25254,12030
3000,28800,29551,11219
3300,34100,34845,8794
3800,35000,36903,14634
5500,36100,37667,15507
6000,36900,38269,11929
4500,38500,39369,9315
6650,28800,38728,8532
4500,32800,34842,9383
5042,33100,34284,9849
4776,37100,38054,10491
5000,38000,39516,8663
4800,39600,40053,10156
4800,43000,43333,9950
5500,44200,45492,8150
6527,10800,34226,8114
6233,17800,21001,19233
6600,21800,23544,14464
6800,25100,25991,15506
6640,29300,30033,10634
6600,28000,29768,9519
6600,26000,27620,9188
5500,29300,30282,9005
5500,28500,32520,6208
3800,31700,32425,8949
4000,34300,34684,9117
5000,36800,37355,8113
5833,35000,35661,9673
5690,37000,37479,8409
6326,37900,38378,8777
6829,25000,35905,7520
6700,26500,28927,10972
6000,25200,26385,11167
5700,29800,30320,13633
5700,35200,36749,8351
5000,26900,31220,5907
3800,34200,34887,12367
4500,38500,38932,8904
5000,37500,38326,7888
4500,37700,38139,8301
4500,39500,39752,8478
5500,39600,39966,8966
6200,39900,40459,9190
6500,37000,41601,7064
6500,36300,37899,11237
6000,37800,38460,110234
6500,39800,40518,9477
6000,38500,40974,6587
3500,39100,40473,5056
4000,41100,41573,10168
5500,43300,43623,10523
6000,44500,44853,10273
6000,47200,47711,11478
5500,45200,46581,10327
8000,46500,46897,12943
8500,48600,49631,10561
7500,50500,51000,10715
7500,53800,54317,10596
7500,50000,56042,10356
16000,8100,23370,20539
9300,31300,32169,63534
9000,37300,37659,37072
8200,34400,36047,26341
7700,33900,34947,21208
6800,33800,34491,16783
6000,35900,36460,13451
6500,29300,31788,11002
5000,32600,33224,11882
5500,21800,24351,10170
4500,31000,31665,16801
5200,28600,29399,16544
5200,33000,33394,16848
6000,26600,27552,18575
6500,28300,28724,17654
7200,28500,29100,16471
8000,30000,30363,17433
8000,32100,32522,17220
8000,36000,36231,18750
8500,27200,29500,14906
8000,33900,34402,22006
8000,34900,35317,21902
8000,36900,37593,18577
8000,37800,38311,18975
7500,38300,38620,18810
8000,39600,39882,17704
8500,41000,41637,17313
8500,41900,42262,16324
9200,39200,40380,16252
9000,38400,39362,13389
9000,39800,40169,16855
9000,41800,42180,15198
9000,43000,43271,14941
8500,44900,45291,13429
9000,10400,15970,11224
8000,38300,38771,30675
7500,44200,44627,25104
8000,46200,46657,25014
8000,46300,47399,22326
9000,47400,47700,25708
9000,48500,48855,22474
9000,50900,51174,21852
9000,51000,52228,21544
9500,52200,52622,22268
9000,53800,54008,19415
9000,45700,47635,20050
8500,51000,51437,26531
8000,52800,53195,24354
8000,55400,55632,23391
8000,58300,58625,24897
8500,61000,61626,22706
9300,64000,64367,24230
9500,55800,58227,24774
9500,57700,58271,26526
9500,62100,62559,21425
9500,65700,66425,19114
9500,65200,66708,19921
9500,66400,66946,19120
9500,68900,69346,18244
9000,75000,75332,20857
9000,83300,83571,24651
9000,90800,91898,23589
11000,83900,84101,26174
9000,80700,80803,22224
9000,77600,77823,21482
9000,76300,76465,21811
9000,74700,74939,22650
9000,73400,73492,35154
10000,82300,83723,28887
8500,75500,75717,38220
8500,76000,76093,39625
8100,73500,73501,41946
7400,73200,73357,45758
7400,73800,73872,61853
8200,74000,74113,94241
7400,74400,74503,114121
7400,73800,73896,135677
7400,74600,74680,136098
7400,73600,73785,121550
8300,73800,73875,122219
7400,74000,74075,105532
7400,73500,73633,95595
7447,73600,73687,96972
7990,74000,74216,98203
7653,76500,76618,103224
7406,74600,74830,132690
8288,80600,80759,152298
7482,79000,79099,156007
7441,80000,80020,172205
7531,83100,83171,166302
7454,82600,82642,166939
8727,82100,82172,165765
7763,85300,85424,170995
7514,84600,84703,169159
7698,84500,84572,179133
9409,82200,82352,187533
8363,83200,83244,196470
8310,83100,83148,221109
11829,85100,85127,256897
11598,85000,85058,277889
11546,84400,84483,275438
11475,87200,87235,240750
11549,86900,86946,251188
12889,86500,86523,229544
11621,88300,88359,213212
11549,88600,88665,215424
12261,88300,88412,219882
12215,87600,87685,232101
10157,88200,88240,251717
10356,87800,87916,262010
12196,89800,89850,252273
10316,90100,90209,270197
10312,89400,89532,244349
10325,92200,92250,269189
10558,91600,91629,256083
12413,91300,91415,250566
11388,93500,93540,244868
11002,93100,93130,226911
12147,92800,92848,228148
12183,87900,87936,226316
11098,87600,87660,220831
9855,88100,88176,217056
11916,86900,87089,204980
10216,89000,89018,198627
10775,87800,87900,209672
10395,88300,88380,202337
10402,88300,88365,192755
12712,87300,87410,189142
10728,88000,88070,181861
11766,87300,87374,177355
12850,87400,87508,165442
12832,89500,89565,168614
